"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1";"110000015";"11000001500013";"84.11Z";"32";"ASSEMBLEE NATIONALE";"ETI";"RUE";"DE L'UNIVERSITE";"75007";"PARIS 7"
"2";"110000023";"11000002300017";"84.11Z";"51";"SENAT";"ETI";"RUE";"DE VAUGIRARD";"75006";"PARIS 6"
"3";"110006012";"11000601200014";"84.11Z";"41";"MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES";"ETI";"QUAI";"D ORSAY";"75007";"PARIS 7"
"4";"110010014";"11001001400014";"84.23Z";"42";"MINISTERE DE LA JUSTICE";"ETI";"PL";"VENDOME";"75001";"PARIS 1"
"5";"110014016";"11001401600015";"84.11Z";"41";"MINISTERE DE L'INTERIEUR";"ETI";"PL";"BEAUVAU";"75008";"PARIS 8"
"6";"110019015";"11001901500012";"84.11Z";"12";"MINISTERE DES OUTRE-MER";"PME";"RUE";"OUDINOT";"75007";"PARIS 7"
"7";"110040011";"11004001100055";"84.11Z";"32";"MINISTERE DES SPORTS, DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DE LA VIE ASSOCIATIVE";"ETI";"AV";"DE FRANCE";"75013";"PARIS 13"
"8";"110043015";"11004301500012";"84.11Z";"22";"MINISTERE DE L'EDUCATION NATIONALE ET DE LA JEUNESSE";"PME";"RUE";"DE GRENELLE";"75007";"PARIS 7"
"9";"110068012";"11006801200050";"84.11Z";"32";"MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE";"ETI";"BD";"SAINT GERMAIN";"75007";"PARIS 7"
"10";"110090016";"11009001600012";"84.11Z";"42";"MINISTERE DES ARMEES";"ETI";"RUE";"ST DOMINIQUE";"75007";"PARIS 7"
"11";"110090016";"11009001600046";"84.11Z";"0";"MINISTERE DES ARMEES";"ETI";"BD";"DU GAL MARTIAL VALIN";"75015";"PARIS 15"
"12";"120000146";"12000014600015";"84.11Z";"12";"DELEGATION GENERALE A LA LANGUE FRANCAISE ET AUX LANGUES DE FRANCE";"PME";"RUE";"DES PYRAMIDES";"75001";"PARIS 1"
"13";"120015045";"12001504500087";"84.25Z";"00";"DIRECTION GENERALE DE LA SECURITE CIVILE ET DE LA GESTION DES CRISES";"ETI";"QUAI";"DU DOCTEUR DERVAUX";"92600";"ASNIERES-SUR-SEINE"
"14";"120015169";"12001516900010";"84.24Z";"32";"DIRECTION CENTRALE SECURITE PUBLIQUE";"ETI";"RUE";"CAMBACERES";"75008";"PARIS 8"
"15";"120023015";"12002301500049";"84.11Z";"0";"DIRECTION GENERALE DES DOUANES ET DROITS INDIRECTS";"ETI";"QUAI";"DE LA DOUANE";"33000";"BORDEAUX"
"16";"120027016";"12002701600019";"84.11Z";"42";"INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES";"GE";"BD";"ADOLPHE PINARD";"75014";"PARIS 14"
"17";"120043120";"12004312000027";"84.12Z";"32";"INSPECTION GENERALE DE L'EDUCATION NATIONALE";"ETI";"RUE";"DE LA FEDERATION";"75015";"PARIS 15"
"18";"120066022";"12006602200027";"84.13Z";"NN";"SECRETARIAT GENERAL DU MEDDTL";"";"";"GRANDE ARCHE";"92800";"PUTEAUX"
"19";"120068051";"12006805100040";"84.11Z";"11";"DIRECTION GENERALE DE LA PREVENTION DES RISQUES";"PME";"AV";"GUSTAVE GASPARD CORIOLIS";"31100";"TOULOUSE"
"20";"130000029";"13000002900012";"84.13Z";"11";"GIP MAISON DE L'EMPLOI MEUSIENNE";"PME";"PL";"PIERRE FRANCOIS GOSSIN";"55000";"BAR-LE-DUC"
"21";"130000136";"13000013600015";"84.11Z";"22";"INSTITUT NATIONAL DU TRAVAIL DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE";"PME";"RTE";"DE SAINT BEL";"69280";"MARCY L'ETOILE"
"22";"130000383";"13000038300013";"85.42Z";"22";"INSTITUT NATIONAL SUPERIEUR DE FORMATION ET DE RECHERCHE POUR L'EDUC DES JEUNES HANDICAPES ET LES ENSEIGNEMENTS ADAPTES";"PME";"AV";"DES LANDES";"92150";"SURESNES"
"23";"130001761";"13000176100365";"84.13Z";"0";"DIRECTION INTERDEPARTEMENTALE DES ROUTES MEDITERRANEE";"ETI";"RUE";"ANTOINE ZATTARA";"13003";"MARSEILLE 3"
"24";"130002702";"13000270200186";"84.13Z";"11";"INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALITE";"PME";"";"LA JASSE DE MAURIN";"34970";"LATTES"
"25";"130002793";"13000279300011";"85.42Z";"32";"INSTITUT NATIONAL D'ETUDES SUPERIEURES AGRONOMIQUES DE MONTPELLIER";"ETI";"PL";"PIERRE VIALA";"34000";"MONTPELLIER"
"26";"130002850";"13000285000019";"85.42Z";"32";"INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT";"ETI";"RUE";"CLAUDE BERNARD";"75005";"PARIS 5"
"27";"130002850";"13000285000068";"85.42Z";"21";"INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT";"ETI";"RUE";"GIRARDET";"54000";"NANCY"
"28";"130003221";"13000322100012";"85.42Z";"0";"UNIVERSITE DE NOUVELLE CALEDONIE";"PME";"AV";"JAMES COOK";"98800";"NOUMEA"
"29";"130003759";"13000375900011";"85.42Z";"31";"UNIVERSITE DE NIMES";"PME";"RUE";"DU DOCTEUR GEORGES SALAN";"30000";"NIMES"
"30";"130004278";"13000427800011";"85.42Z";"51";"INSTITUT SUPERIEUR DE L'AERONAUTIQUE ET DE L'ESPACE";"ETI";"AV";"EDOUARD BELIN";"31400";"TOULOUSE"
"31";"130005309";"13000530900013";"84.12Z";"12";"DEPARTEMENT DES RECHERCHES ARCHEOLOGIQUES SUBAQUATIQUES ET SOUS MARINES";"PME";"";"PLAGE DE L ESTAQUE";"13016";"MARSEILLE 16"
"32";"130005457";"13000545700010";"85.42Z";"51";"UNIVERSITE DE STRASBOURG";"ETI";"RUE";"BLAISE PASCAL";"67000";"STRASBOURG"
"33";"130005481";"13000548109581";"84.13Z";"00";"POLE EMPLOI";"GE";"AV";"NAPOLEON 3";"20000";"AJACCIO"
"34";"130005481";"13000548120133";"84.13Z";"12";"POLE EMPLOI";"GE";"AV";"DU 11 NOVEMBRE";"48000";"MENDE"
"35";"130006091";"13000609100198";"84.13Z";"31";"DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT OCCITANIE";"ETI";"AV";"MARIE DE MONTPELLIER";"34000";"MONTPELLIER"
"36";"130006372";"13000637200010";"84.13Z";"41";"AGENCE DE SERVICES ET DE PAIEMENT";"ETI";"RUE";"DU MAUPAS";"87000";"LIMOGES"
"37";"130006554";"13000655400013";"88.99B";"0";"FARE TAMA HAU MAISON ENFANT ADOLESCENT EN DIFFICULTE";"";"RUE";"DE FARE UTE";"98713";"PAPEETE"
"38";"130006596";"13000659600014";"84.13Z";"22";"DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT CORSE";"PME";"CRS";"NAPOLEON";"20000";"AJACCIO"
"39";"130007230";"13000723000050";"84.11Z";"11";"DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HERAULT";"ETI";"AV";"PIERRE VERDIER";"34500";"BEZIERS"
"40";"130007230";"13000723000415";"84.11Z";"12";"DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HERAULT";"ETI";"PL";"PAUL BEC";"34000";"MONTPELLIER"
"41";"130007230";"13000723000589";"84.11Z";"12";"DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HERAULT";"ETI";"PL";"DU 14 JUILLET";"34120";"PEZENAS"
"42";"130007230";"13000723000647";"84.11Z";"11";"DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES HERAULT";"ETI";"AV";"PIERRE VERDIER";"34500";"BEZIERS"
"43";"130007438";"13000743800018";"84.23Z";"22";"DIRECTION INTERREGIONALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE GRAND OUEST";"PME";"PL";"DES COLOMBES";"35000";"RENNES"
"44";"130007883";"13000788300015";"84.12Z";"22";"AGENCE REGIONALE DE SANTE DE MARTINIQUE";"PME";"";"ZAC ETANG Z ABRICOT";"97200";"FORT-DE-FRANCE"
"45";"130007958";"13000795800031";"84.12Z";"NN";"AGENCE REGIONALE DE SANTE MIDI-PYRENEES";"";"RUE";"DE PARAIRE";"12000";"RODEZ"
"46";"130008048";"13000804800014";"84.12Z";"31";"AGENCE REGIONALE DE SANTE OCCITANIE";"ETI";"AV";"HENRI BECQUEREL";"34000";"MONTPELLIER"
"47";"130008048";"13000804800030";"84.12Z";"12";"AGENCE REGIONALE DE SANTE OCCITANIE";"ETI";"RUE";"DU MAIL";"30900";"NIMES"
"48";"130008063";"13000806300021";"84.12Z";"0";"AGENCE DE SANTE OCEAN INDIEN";"ETI";"RUE";"MARIAZE";"97600";"MAMOUDZOU"
"49";"130008121";"13000812100019";"85.42Z";"42";"ECOLE NORMALE SUPERIEURE DE LYON";"ETI";"PRV";"RENE DESCARTES";"69007";"LYON 7EME"
"50";"130008170";"13000817000016";"84.13Z";"32";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"ETI";"BD";"DE LA DOLLEE";"50000";"SAINT-LO"
"51";"130008568";"13000856800052";"84.13Z";"12";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"ETI";"IMP";"BARRIERE JOSEPH";"34500";"BEZIERS"
"52";"130008568";"13000856800060";"84.13Z";"22";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"ETI";"PL";"ERNEST GRANIER";"34000";"MONTPELLIER"
"53";"130008691";"13000869100011";"84.12Z";"12";"DIRECTION  DEPARTEMENTALE COHESION SOCIALE";"PME";"RUE";"SERGE LIFAR";"34080";"MONTPELLIER"
"54";"130008931";"13000893100011";"84.13Z";"22";"DIRECTION DEPARTEMENTALE TERRITOIRES";"PME";"RUE";"LORDAT";"65000";"TARBES"
"55";"130009020";"13000902000012";"84.13Z";"31";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"PME";"BD";"GENERAL VANIER";"14000";"CAEN"
"56";"130009293";"13000929300023";"84.12Z";"21";"DIRECTION DEPARTEMENTALE COHESION SOCIALE";"PME";"BD";"LIMBERT";"84000";"AVIGNON"
"57";"130009301";"13000930100016";"84.13Z";"31";"DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT CENTRE-VAL DE LOIRE";"ETI";"AV";"BUFFON";"45100";"ORLEANS"
"58";"130009335";"13000933500022";"84.12Z";"22";"DIRECTION DEPARTEMENTALE PROTECTION POPULATIONS";"PME";"RUE";"DE KERIVOAL";"29000";"QUIMPER"
"59";"130009343";"13000934300018";"84.12Z";"22";"DIRECTION REGIONALE DE LA JEUNESSE DES SPORTS ET DE LA COHESION SOCIALE OCCITANIE";"ETI";"AV";"CHARLES FLAHAULT";"34090";"MONTPELLIER"
"60";"130009483";"13000948300012";"84.13Z";"22";"DIRECTION DEPARTEMENTALE TERRITOIRES";"PME";"RUE";"DE LA PROVIDENCE";"86000";"POITIERS"
"61";"130010010";"13001001000010";"84.13Z";"NN";"DIRECTION REGIONALE DE L ENVIRONNEMENT DE L AMENAGEMENT ET DU LOGEMENT";"";"ALL";"HENRI II DE MONTMORENCY";"34000";"MONTPELLIER"
"62";"130010135";"13001013500015";"84.13Z";"32";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"ETI";"RUE";"ANTOINE ZATTARA";"13003";"MARSEILLE 3"
"63";"130010143";"13001014300027";"84.12Z";"12";"DIRECTION DEPARTEMENTALE COHESION SOCIALE";"PME";"RTE";"DE SAINT GILLES";"30000";"NIMES"
"64";"130010283";"13001028300013";"84.13Z";"31";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"PME";"RUE";"WEBER";"30900";"NIMES"
"65";"130010440";"13001044000290";"84.12Z";"22";"INSTITUT FRANCAIS DU CHEVAL ET DE L'EQUITATION";"ETI";"RUE";"DE TERREFORT";"49400";"SAUMUR"
"66";"130010523";"13001052300012";"84.13Z";"22";"DIRECTION DEPARTEMENTALE TERRITOIRES";"PME";"AV";"DE COLMAR";"47000";"AGEN"
"67";"130010572";"13001057200019";"84.13Z";"22";"DIRECTION DEPARTEMENTALE DES TERRITOIRES";"PME";"RUE";"DES PATIS";"58000";"NEVERS"
"68";"130010614";"13001061400076";"84.13Z";"NN";"DIRECTION REGIONALE DES ENTREPRISES DE LA CONCURRENCE DE LA CONSOMMATION DU TRAVAIL ET DE L EMPLOI";"";"BD";"D ANTIGONE";"34000";"MONTPELLIER"
"69";"130010671";"13001067100019";"84.13Z";"22";"DIRECTION DEPARTEMENTALE DES TERRITOIRES ET DE LA MER";"ETI";"RUE";"DU PARC";"22000";"SAINT-BRIEUC"
"70";"130010804";"13001080400016";"84.12Z";"32";"INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE";"ETI";"AV";"DU TREMBLAY";"75012";"PARIS 12"
"71";"130010911";"13001091100019";"84.13Z";"22";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"PME";"BD";"BENOITE DANESI";"20200";"BASTIA"
"72";"130010937";"13001093700014";"84.13Z";"31";"DIRECTION DEPARTEMENTALE TERRITOIRES MER";"ETI";"RUE";"MAURICE FABRE";"35000";"RENNES"
"73";"130011133";"13001113300019";"84.11Z";"21";"HAUTE AUTORITE POUR LA DIFFUSION DES OEUVRES ET LA PROTECTION DES DROITS SUR INTERNET";"PME";"RUE";"DU TEXEL";"75014";"PARIS 14"
"74";"130011844";"13001184400011";"84.12Z";"21";"AGENCE DU SERVICE CIVIQUE";"PME";"AV";"DE FRANCE";"75013";"PARIS 13"
"75";"130011885";"13001188500055";"88.99B";"01";"GROUPEMENT DE COOPERATION SOCIALE ET MEDICO SOCIALE GESTES";"PME";"RUE";"DU MARCADIEU";"32130";"SAMATAN"
"76";"130012024";"13001202400183";"72.19Z";"42";"AGENCE NATIONALE DE SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL";"ETI";"RUE";"PIERRE  ET MARIE CURIE";"94700";"MAISONS-ALFORT"
"77";"130012172";"13001217200016";"91.02Z";"21";"MUSEE NATIONAL PICASSO PARIS";"PME";"RUE";"DE THORIGNY";"75003";"PARIS 3"
"78";"130012354";"13001235400010";"84.13Z";"41";"DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'EQUIPEMENT ET DE L'AMENAGEMENT ILE-DE-FRANCE";"ETI";"RUE";"MIOLLIS";"75015";"PARIS 15"
"79";"130013428";"13001342800011";"72.19Z";"32";"INSTITUT FRANCAIS DES SCIENCES ET TECHNOLOGIES DES TRANSPORTS DE L'AMENAGEMENT ET DES RESEAUX";"ETI";"BD";"ISAAC NEWTON";"77420";"CHAMPS-SUR-MARNE"
"80";"130013428";"13001342800086";"72.19Z";"12";"INSTITUT FRANCAIS DES SCIENCES ET TECHNOLOGIES DES TRANSPORTS DE L'AMENAGEMENT ET DES RESEAUX";"ETI";"CHE";"DE LA CROIX BLANCHE";"13300";"SALON-DE-PROVENCE"
"81";"130013543";"13001354300017";"94.11Z";"21";"CHAMBRE D'AGRICULTURE DU NORD PAS DE CALAIS";"PME";"BD";"DE LA LIBERTE";"59800";"LILLE"
"82";"130013915";"13001391500017";"84.13Z";"32";"DIRECTION DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GUADELOUPE";"ETI";"RTE";"DE SAINT-PHY";"97100";"BASSE-TERRE"
"83";"130013972";"13001397200026";"85.51Z";"11";"CAMPUS DE L EXCELLENCE SPORTIVE DE BRETAGNE";"PME";"RUE";"DES MARETTES";"35800";"DINARD"
"84";"130014236";"13001423600017";"84.13Z";"12";"DIRECTION DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT MARTINIQUE";"PME";"";"POINTE DE JAHAM";"97233";"SCHOELCHER"
"85";"130014368";"13001436800018";"84.13Z";"22";"DIRECTION DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT REUNION";"ETI";"RUE";"JULIETTE DODU";"97400";"SAINT-DENIS"
"86";"130015019";"13001501900016";"84.11Z";"NN";"DEFENSEUR DES DROITS";"PME";"RUE";"SAINT FLORENTIN";"75008";"PARIS 8"
"87";"130015332";"13001533200013";"85.42Z";"42";"UNIVERSITE D'AIX MARSEILLE";"GE";"BD";"CHARLES LIVON";"13007";"MARSEILLE 7"
"88";"130015506";"13001550600012";"85.42Z";"42";"UNIVERSITE DE LORRAINE";"GE";"CRS";"LEOPOLD";"54000";"NANCY"
"89";"130016678";"13001667800018";"84.12Z";"NN";"GROUPEMENT DES ETABLISSEMENTS MEDICO-SOCIAUX DU COEUR D'HERAULT";"PME";"PL";"AUGUSTE GINOUVES";"34800";"CLERMONT L'HERAULT"
"90";"130017791";"13001779100026";"84.13Z";"32";"VOIES NAVIGABLES DE FRANCE";"ETI";"RUE";"DU PLAT";"59800";"LILLE"
"91";"130017890";"13001789000026";"91.02Z";"22";"MUSEE DES CIVILISATIONS DE L'EUROPE ET DE LA MEDITERRANEE";"PME";"PRO";"ROBERT LAFFONT";"13002";"MARSEILLE 2"
"92";"130018153";"13001815300010";"94.11Z";"22";"CHAMBRE D'AGRICULTURE D'ALSACE";"PME";"RUE";"DE ROME";"67300";"SCHILTIGHEIM"
"93";"130018229";"13001822900018";"84.12Z";"NN";"INTEGR'ACTION";"PME";"CRS";"PALMAROLE";"66000";"PERPIGNAN"
"94";"130018310";"13001831000016";"84.13Z";"41";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"AV";"FRANCOIS MITTERRAND";"69500";"BRON"
"95";"130018310";"13001831000024";"84.13Z";"21";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"RUE";"DE BEAUVAIS";"60280";"MARGNY-LES-COMPIEGNE"
"96";"130018310";"13001831000073";"84.13Z";"01";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"RUE";"DE PARIS";"77171";"SOURDUN"
"97";"130018310";"13001831000131";"84.13Z";"32";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"RUE";"ALBERT EINSTEIN";"13290";"AIX-EN-PROVENCE"
"98";"130018310";"13001831000156";"84.13Z";"11";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"RUE";"GUGLIELMO MARCONI";"34000";"MONTPELLIER"
"99";"130018310";"13001831000222";"84.13Z";"21";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"RUE";"RENE VIVIANI";"44200";"NANTES"
"100";"130018310";"13001831000230";"84.13Z";"22";"CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT";"ETI";"AV";"AMIRAL CHAUVIN";"49130";"LES PONTS-DE-CE"
"101";"130018351";"13001835100010";"85.42Z";"02";"UNIVERSITE DE BORDEAUX";"GE";"PL";"PEY BERLAND";"33000";"BORDEAUX"
"102";"130018914";"13001891400015";"85.51Z";"32";"CENTRE DE RESSOURCES D'EXPERTISE ET DE PERFORMANCE SPORTIVE";"ETI";"";"PASSAGE DE LA 1ERE ARMEE";"07150";"VALLON PONT D'ARC"
"103";"130019011";"13001901100019";"84.13Z";"02";"INSTITUT D'AUVERGNE DU DEVELOPPEMENT DES TERRITOIRES";"PME";"BD";"FRANCOIS MITTERRAND";"63000";"CLERMONT-FERRAND"
"104";"130020548";"13002054800017";"85.42Z";"42";"UNIVERSITE DE MONTPELLIER";"ETI";"RUE";"AUGUSTE BROUSSONNET";"34090";"MONTPELLIER"
"105";"130020548";"13002054800041";"85.42Z";"32";"UNIVERSITE DE MONTPELLIER";"ETI";"AV";"D'OCCITANIE";"34090";"MONTPELLIER"
"106";"130020548";"13002054800090";"85.42Z";"41";"UNIVERSITE DE MONTPELLIER";"ETI";"RUE";"ECOLE DE MEDECINE";"34000";"MONTPELLIER"
"107";"130020548";"13002054800199";"85.42Z";"22";"UNIVERSITE DE MONTPELLIER";"ETI";"PL";"MARCEL GODECHOT";"34090";"MONTPELLIER"
"108";"130020878";"13002087800075";"94.11Z";"21";"CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION PROVENCE-ALPES-COTE D'AZUR";"ETI";"RUE";"MALDONAT";"04000";"DIGNE-LES-BAINS"
"109";"130020878";"13002087800158";"94.11Z";"21";"CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION PROVENCE-ALPES-COTE D'AZUR";"ETI";"BD";"SAINT ROCH";"84000";"AVIGNON"
"110";"130021322";"13002132200016";"85.42Z";"22";"COMMUNAUTE D'UNIVERSITES ET D'ETABLISSEMENTS UNIVERSITE FEDERALE DE TOULOUSE MIDI-PYRENEES";"PME";"ALL";"JULES GUESDE";"31000";"TOULOUSE"
"111";"130021363";"13002136300010";"85.42Z";"32";"COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS (COMUE) UNIVERSITE DE LYON";"ETI";"RUE";"PASTEUR";"69007";"LYON 7EME"
"112";"130021397";"13002139700018";"85.42Z";"52";"UNIVERSITE GRENOBLE ALPES";"GE";"AV";"CENTRALE";"38400";"SAINT MARTIN D'HERES"
"113";"130021397";"13002139700232";"85.42Z";"0";"UNIVERSITE GRENOBLE ALPES";"GE";"AV";"CENTRALE";"38400";"SAINT MARTIN D'HERES"
"114";"130021439";"13002143900018";"85.42Z";"00";"COMMUNAUTE D UNIVERSITES ET ETABLISSEMENTS LANGUEDOC-ROUSSILLON UNIVERSITES";"PME";"RUE";"AUGUSTE BROUSSONNET";"34090";"MONTPELLIER"
"115";"130021603";"13002160300019";"94.11Z";"00";"CHAMBRE REGIONALE D'AGRICULTURE OCCITANIE";"PME";"CHE";"DE BORDE ROUGE";"31320";"AUZEVILLE-TOLOSANE"
"116";"130021702";"13002170200019";"94.11Z";"0";"CHAMBRE DE COMMERCE ET D'INDUSTRIE LYON METROPOLE-SAINT-ETIENNE ROANNE";"PME";"PL";"DE LA BOURSE";"69002";"LYON 2EME"
"117";"130022478";"13002247800361";"94.11Z";"0";"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION OCCITANIE";"PME";"RUE";"JOLIOT CURIE";"34500";"VILLENEUVE-LES-BEZIERS"
"118";"130022718";"13002271800113";"94.11Z";"22";"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE";"ETI";"AV";"DU SENATEUR GIRARD";"59300";"VALENCIENNES"
"119";"130022767";"13002276700011";"84.12Z";"0";"AGENCE FRANCAISE POUR LA BIODIVERSITE";"PME";"SQ";"FELIX NADAR";"94300";"VINCENNES"
"120";"130022775";"13002277500014";"85.42Z";"42";"UNIVERSITE CLERMONT AUVERGNE";"ETI";"BD";"FRANCOIS MITTERRAND";"63000";"CLERMONT-FERRAND"
"121";"130023609";"13002360900014";"84.13Z";"0";"GROUPEMENT D'INTERET PUBLIC POUR LE DEVELOPPEMENT TOURISTIQUE ET CULTUREL DE LA VILLE DU CANNET";"";"BD";"SADI CARNOT";"06110";"LE CANNET"
"122";"160000063";"16000006300018";"91.03Z";"11";"MUSEES NATIONAUX DU XXE SIECLE DES ALPES MARITIMES";"PME";"CHE";"DU VAL DE POME";"06410";"BIOT"
"123";"160000147";"16000014700019";"91.03Z";"32";"MOBILIER NATIONAL ET MANUFACTURES NATIONALES DES GOBELINS DE BEAUVAIS ET DE LA SAVONNERIE";"ETI";"RUE";"BERBIER DU METS";"75013";"PARIS 13"
"124";"160000170";"16000017000037";"91.02Z";"21";"CENTRE DE RECHERCHE ET DE RESTAURATION DES MUSEES DE FRANCE";"PME";"QUAI";"FRANCOIS MITTERRAND";"75001";"PARIS 1"
"125";"160001020";"16000102000017";"58.13Z";"NN";"DIRECTION DES JOURNAUX OFFICIELS";"";"RUE";"DESAIX";"75015";"PARIS 15"
"126";"160046132";"16004613200017";"91.03Z";"21";"MUSEE DU MOYEN AGE-THERMES ET HOTEL DE CLUNY";"PME";"PL";"PAUL PAINLEVE";"75005";"PARIS 5"
"127";"170204317";"17020431700011";"84.12Z";"32";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AISNE";"ETI";"";"CITE ADMINISTRATIVE";"02000";"LAON"
"128";"170304315";"17030431500014";"84.12Z";"22";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ALLIER";"PME";"RUE";"ARISTIDE BRIAND";"03400";"YZEURE"
"129";"170404313";"17040431300240";"84.12Z";"NN";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES ALPES DE HAUTE PROVENCE";"PME";"AV";"DU PLANTAS";"04000";"DIGNE-LES-BAINS"
"130";"170504310";"17050431000021";"84.12Z";"NN";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES HAUTES ALPES";"PME";"AV";"MAL FOCH";"05000";"GAP"
"131";"170600019";"17060001900013";"84.11Z";"32";"PREFECTURE DES ALPES MARITIMES";"ETI";"RTE";"DE GRENOBLE";"06200";"NICE"
"132";"170704316";"17070431600166";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ARDECHE";"ETI";"AV";"DE SIERRE";"07200";"AUBENAS"
"133";"171100019";"17110001900016";"84.11Z";"22";"PREFECTURE DE L AUDE";"PME";"RUE";"JEAN BRINGER";"11000";"CARCASSONNE"
"134";"171104318";"17110431800034";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";"ETI";"BD";"MARCEL SEMBAT";"11100";"NARBONNE"
"135";"171104318";"17110431800125";"84.12Z";"11";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";"ETI";"RUE";"FELIX ALDY";"11100";"NARBONNE"
"136";"171104318";"17110431800182";"84.12Z";"32";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";"ETI";"RUE";"ANTOINE MARTY";"11000";"CARCASSONNE"
"137";"171104318";"17110431800216";"84.12Z";"0";"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";"ETI";"RUE";"ANTOINE MARTY";"11000";"CARCASSONNE"
"138";"171300015";"17130001500012";"84.11Z";"41";"PREFECTURE DU DEP DES BOUCHES DU RHONE";"ETI";"PL";"FELIX BARET";"13006";"MARSEILLE 6"
"139";"171301203";"17130120300179";"84.23Z";"22";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES MARSEILLE - SUD-EST";"ETI";"";"LES RADOUBS";"13150";"TARASCON"
"140";"171301203";"17130120300195";"84.23Z";"03";"DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES MARSEILLE - SUD-EST";"ETI";"RUE";"COPERNIC";"13200";"ARLES"
