"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1007";"437574452";"43757445200029";"66.30Z";"42";"AMUNDI ASSET MANAGEMENT";"GE";"BD";"PASTEUR";"75015";"PARIS 15"
"1008";"437605884";"43760588400026";"94.99Z";"01";"ATELIERS PLURICULTURELS";"PME";"RUE";"NATIONALE";"75013";"PARIS 13"
"1009";"437665714";"43766571400055";"79.11Z";"0";"ASIA TOURS EUROPE";"PME";"AV";"DES CHAMPS ELYSEES";"75008";"PARIS 8"
"1010";"437718372";"43771837200018";"56.10C";"03";"LES FLOTS";"PME";"GR";"JEAN MOULIN";"34000";"MONTPELLIER"
"1011";"437747660";"43774766000037";"85.59A";"00";"SOVIGRO";"PME";"AV";"LOUIS LEPINE";"84700";"SORGUES"
"1012";"437782758";"43778275800134";"94.99Z";"02";"ASS DE CARDIOLOGIE LANGUEDOC ROUSSILLON";"PME";"RUE";"FRANCOIS D ORBAY";"34080";"MONTPELLIER"
"1013";"437807274";"43780727400042";"78.20Z";"02";"ADICE INTERIM";"PME";"RTE";"DE NIMES";"34170";"CASTELNAU-LE-LEZ"
"1014";"437859382";"43785938200016";"22.2C";"NN";"IMAGE DE MARQUE";"";"RUE";"MARIUS ET ARY LEBLOND";"97410";"SAINT-PIERRE"
"1015";"437908163";"43790816300029";"73.11Z";"NN";"R2COM";"PME";"RUE";"CHAPTAL";"34000";"MONTPELLIER"
"1016";"437922081";"43792208100017";"90.02Z";"00";"ID' EVENTS GROUPE";"PME";"RUE";"DE GOURNAY";"91100";"CORBEIL-ESSONNES"
"1017";"437955982";"43795598200024";"59.20Z";"NN";"280 COM";"";"AV";"DE CASTELNAU";"34090";"MONTPELLIER"
"1018";"438013450";"43801345000012";"94.99Z";"NN";"CENTRE OCCITAN DEL PAIS CASTRES";"";"RUE";"DU CONSULAT";"81100";"CASTRES"
"1019";"438013831";"43801383100013";"59.20Z";"01";"SLC AUDIO";"PME";"RUE";"RAYMOND GROSSET";"26780";"ESPELUCHE"
"1020";"438015422";"43801542200050";"71.11Z";"0";"";"PME";"AV";"DE LODEVE";"34070";"MONTPELLIER"
"1021";"438049843";"43804984300131";"58.13Z";"31";"20 MINUTES FRANCE";"PME";"RUE";"DU COTENTIN";"75015";"PARIS 15"
"1022";"438076200";"43807620000023";"70.22Z";"12";"CREA LEAD";"PME";"RUE";"SAINT CLEOPHAS";"34070";"MONTPELLIER"
"1023";"438100661";"43810066100042";"59.14Z";"01";"AYE AYE VO FESTIVAL INTERNATIONAL DU FILM DE NANCY";"PME";"RUE";"HERMITE";"54000";"NANCY"
