"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"33";33;33;33;33;19340081900010;"LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET";28;131,428571428571;"";"";NA;"";""
"34";34;34;34;34;19340040500018;"LYCEE POLYVALENT JULES GUESDE";27;171,285714285714;"";"";NA;"";""
"35";35;35;35;35;19340053800016;"COLLEGE CROIX D'ARGENT";27;163,714285714286;"";"";NA;"";""
"36";36;36;36;36;42404111900027;"GUI DE CHAULIAC";27;553,857142857143;"";"";NA;"";""
"37";37;37;37;37;19340998400013;"COLLEGE JEU DE MAIL";26;177;"";"";NA;"";""
"38";38;38;38;38;26110010100011;"CENTRE HOSPITALIER DE NARBONNE";26;789,428571428571;"";"";NA;"";""
"39";39;39;39;39;19341089100223;"BIU UNIVERSITE MONTPELLIER 3";25;352,857142857143;"";"";NA;"";""
"40";40;40;40;40;21340172201746;"ECOLE ELEMENTAIRE FRANCOIS RABELAIS";25;62,7142857142857;"";"";NA;"";""
"41";41;41;41;41;33977442400073;"ADAGES F.A.M.  LES IV SEIGNEURS";25;276;"";"";NA;"";""
"42";42;42;42;42;22300001900073;"CONSEIL DEPARTEMENTAL DU GARD";24;457,714285714286;"";"";NA;"";""
"43";43;43;43;43;26340016000010;"CENTRE HOSPITALIER  UNIVERSITAIRE DE MONTPELLIER- HOPITAL LAPEYRONE";24;297,142857142857;"";"";NA;"";""
"44";44;44;44;44;26660001400010;"CENTRE HOSPITALIER LEON JEAN GREGORY";24;415,714285714286;"";"";NA;"";""
"45";45;45;45;45;45680115800191;"MIDI LIBRE";24;146,285714285714;"https://www.midilibre.fr";"https://fr.wikipedia.org/wiki/Midi_libre";"";"midi libre journal ↑ groupe modifier consulté dépêche presse journaux";""
"46";46;46;46;46;19340001700011;"LYCEE POLYVALENT GEORGES POMPIDOU";23;116;"";"";NA;"";""
"47";47;47;47;47;26300003600172;"CHU NIMES";23;532;"";"";NA;"";""
"48";48;48;48;48;77603228600010;"COLLEGE DE L'ASSOMPTION";23;110,285714285714;"";"";NA;"";""
"49";49;49;49;49;17340430200015;"ACADEMIE DE MONTPELLIER- RECTORAT";22;297;"";"";NA;"";""
"50";50;50;50;50;19340996800016;"COLLEGE LES ESCHOLIERS DE LA MOSSON";22;77,1428571428571;"";"";NA;"";""
"51";51;51;51;51;26340016000200;"CHRU DE MONTPELLIER";22;348,428571428571;"";"";NA;"";""
"52";52;52;52;52;35241579800029;"OPERA ORCHESTRE NATIONAL DE MONTPELLIER";22;178,857142857143;"https://www.opera-orchestre-montpellier.fr";"https://fr.wikipedia.org/wiki/Opéra_Orchestre_national_Montpellier";"";"montpellier saison national modifier ’opéra orchestre opéra ’orchestre musique ’";""
"53";53;53;53;53;50129144700024;"HOPITAL GUI DE CHAULIAC";22;289,857142857143;"";"";NA;"";""
"54";54;54;54;54;78866686500019;"AS HEBER URGENCE 2 CHOSES LUNE";22;358,285714285714;"";"";NA;"";""
"55";55;55;55;55;19341421600013;"COLLEGE JOFFRE";21;104,571428571429;"";"";NA;"";""
