"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"2977";2977;2977;2977;2977;15400078000010;"ENSOA ECOLE NATIONALE DES SOUS-OFFICIERS D'ACTIVE";1;8,14285714285714;"";"";NA;"";""
"2978";2978;2978;2978;2978;15400119200025;"DEFENSE";1;13;"";"";NA;"";""
"2979";2979;2979;2979;2979;15700008400010;"COMMANDEMENT DE LA GENDARMERIE OUTRE-MER";1;28,4285714285714;"";"";NA;"";""
"2980";2980;2980;2980;2980;15700036500013;"REGION DE GENDARMERIE DE PROVENCE ALPES COTE-D'AZUR";1;5,57142857142857;"";"";NA;"";""
"2981";2981;2981;2981;2981;15700037300017;"GENDARMERIE";1;8,28571428571429;"";"";NA;"";""
"2982";2982;2982;2982;2982;16000006300018;"MUSEES NATIONAUX DU XX EME SIECLE DES ALPES MARITIMES";1;7,57142857142857;"";"";NA;"";""
"2983";2983;2983;2983;2983;16000017000037;"CENTRE DE RECHERCHE ET DE RESTAURATION DES MUSEES DE FRANCE";1;11,2857142857143;"";"";NA;"";""
"2984";2984;2984;2984;2984;16000102000017;"ASSOCIATION DECOUVERTE";1;13,2857142857143;"";"";NA;"";""
"2985";2985;2985;2985;2985;16004613200017;"MUSEE NATIONAL DU MOYEN AGE - THERMES ET HOTEL DE CLUNY";1;8,57142857142857;"";"";NA;"";""
"2986";2986;2986;2986;2986;17020431700011;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AISNE";1;0,428571428571429;"";"";NA;"";""
"2987";2987;2987;2987;2987;17030431500014;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ALLIER A YZEURE";1;0,714285714285714;"";"";NA;"";""
"2988";2988;2988;2988;2988;17040431300240;"INSPECTION ACADEMIQUE 04";1;1,57142857142857;"";"";NA;"";""
"2989";2989;2989;2989;2989;17050431000021;"INSPECTION ACADEMIQUE DES HAUTES ALPES";1;16;"";"";NA;"";""
"2990";2990;2990;2990;2990;17060001900013;"PREFECTURE DES ALPES-MARITIMES";1;13;"";"";NA;"";""
"2991";2991;2991;2991;2991;17110001900016;"PREFECTURE DE L'AUDE";1;8,42857142857143;"";"";NA;"";""
"2992";2992;2992;2992;2992;17110431800034;"CENTRE D'INFORMATION ET D'ORIENTATION";1;1;"";"";NA;"";""
"2993";2993;2993;2993;2993;17110431800216;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'AUDE";1;0,571428571428571;"";"";NA;"";""
"2994";2994;2994;2994;2994;17130120300179;"CENTRE DE DETENTION DE TARASCON";1;8,14285714285714;"";"";NA;"";""
"2995";2995;2995;2995;2995;17130120300195;"MAISON CENTRALE";1;26;"";"";NA;"";""
"2996";2996;2996;2996;2996;17130120300237;"CENTRE PENIENTIAIRE";1;0,571428571428571;"";"";NA;"";""
"2997";2997;2997;2997;2997;17130120300401;"CENTRE DE DETENTION DE TARASCON";1;0,428571428571429;"";"";NA;"";""
"2998";2998;2998;2998;2998;17130131000057;"CENTRE EDUCATIF FERME LES CEDRES";1;17,5714285714286;"";"";NA;"";""
"2999";2999;2999;2999;2999;17130131000198;"ETABLISSEMENT DE PLACEMENT EDUCATIF DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE";1;21;"";"";NA;"";""
"3000";3000;3000;3000;3000;17130154200121;"DDPAF DE L HERAULT";1;0,571428571428571;"";"";NA;"";""
"3001";3001;3001;3001;3001;17130430600011;"ACADEMIE CIRCONSCRIPTION D'AIX SUD";1;6,57142857142857;"";"";NA;"";""
"3002";3002;3002;3002;3002;17130431400015;"DESDEN DES BOUCHES-DU-RHONES";1;0,571428571428571;"";"";NA;"";""
"3003";3003;3003;3003;3003;17130431400239;"CIRCONSCRIPTION DE L'EDUCATION NATIONALE";1;35,4285714285714;"";"";NA;"";""
"3004";3004;3004;3004;3004;17130431400494;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";1;4,28571428571429;"";"";NA;"";""
"3005";3005;3005;3005;3005;17130431400593;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES BOUCHES-DU-RHONE";1;23,2857142857143;"";"";NA;"";""
"3006";3006;3006;3006;3006;17130460300078;"DIRECTION DES AFFAIRES CULTURELLES DE LA REGION PROVENCE-ALPES-COTES-D'AZUR";1;7,57142857142857;"";"";NA;"";""
"3007";3007;3007;3007;3007;17130640000234;"COMPAGNIE DE GENDARMERIE DEPARTEMENTALE DE CASTELNAU-LE-LEZ";1;3,42857142857143;"";"";NA;"";""
"3008";3008;3008;3008;3008;17300111600016;"COUR D'APPEL DE NIMES";1;5,28571428571429;"";"";NA;"";""
"3009";3009;3009;3009;3009;17300111600107;"MAISON DE LA JUSTICE ET DU DROIT";1;8,57142857142857;"";"";NA;"";""
"3010";3010;3010;3010;3010;17300131400165;"DIRECTION TERRITORIALE DE LA PJJ GARD LOZERE";1;22,7142857142857;"";"";NA;"";""
"3011";3011;3011;3011;3011;17300431800320;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DU GARD";1;34,5714285714286;"";"";NA;"";""
"3012";3012;3012;3012;3012;17300431800346;"CIRCONSCRIPTION NIMES I";1;11,2857142857143;"";"";NA;"";""
"3013";3013;3013;3013;3013;17310120500214;"CENTRE PENITENTIAIRE DE PERPIGNAN";1;0,285714285714286;"";"";NA;"";""
"3014";3014;3014;3014;3014;17310120500578;"SPIP HERAULT";1;32;"";"";NA;"";""
"3015";3015;3015;3015;3015;17310120500693;"SERVICE PENITENTIAIRE D INSERTION ET PROBATION";1;5,71428571428571;"";"";NA;"";""
"3016";3016;3016;3016;3016;17310120500719;"SPIP";1;9,57142857142857;"";"";NA;"";""
"3017";3017;3017;3017;3017;17310431600729;"DSDEN DU GARD";1;4;"";"";NA;"";""
"3018";3018;3018;3018;3018;17330431200411;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE";1;26,5714285714286;"";"";NA;"";""
"3019";3019;3019;3019;3019;17330460100169;"DRAC NOUVELLE-AQUITAINE (SERVICE DECONCENTRE DU MINISTERE DE LA CULTURE ET COMMUNICATION)";1;4,28571428571429;"";"";NA;"";""
"3020";3020;3020;3020;3020;17340211600557;"DIRECTION REGIONALE DES FINANCES PUBLIQUES 34";1;5,57142857142857;"";"";NA;"";""
"3021";3021;3021;3021;3021;17340431000042;"CIO SETE";1;0,571428571428571;"";"";NA;"";""
"3022";3022;3022;3022;3022;17340431000091;"INSPECTION DE L'EDUCATION NATIONALE DE LA CIRCONSCRIPTION DE LATTES";1;0,571428571428571;"";"";NA;"";""
"3023";3023;3023;3023;3023;17340431000125;"CIRCONSCRIPTION DE BEZIERS VILLE";1;1,14285714285714;"";"";NA;"";""
"3024";3024;3024;3024;3024;17340431000158;"CIRCONSCRIPTION DE BEZIERS NORD";1;0,571428571428571;"";"";NA;"";""
"3025";3025;3025;3025;3025;17340431000174;"INSPECTION DE L'EDUCATION NATIONALE MONTPELLIER OUEST";1;41,1428571428571;"";"";NA;"";""
"3026";3026;3026;3026;3026;17340431000380;"INSPECTION DE L'EDUCATION NATIONALE DE LA CIRCONSCRIPTION DE MONTPELLIER SAINT-JEAN-DE-VEDAS";1;1,28571428571429;"";"";NA;"";""
"3027";3027;3027;3027;3027;17340460900260;"DRAC OCCITANIE";1;8,57142857142857;"";"";NA;"";""
"3028";3028;3028;3028;3028;17350460600026;"DIRECTION REGIONALE DES AFFAIRES CULTURELLES BRETAGNE";1;8,85714285714286;"";"";NA;"";""
"3029";3029;3029;3029;3029;17380001200010;"PREFECTURE";1;178,428571428571;"";"";NA;"";""
"3030";3030;3030;3030;3030;17450460500026;"DRAC CENTRE VAL DE LOIRE";1;5,57142857142857;"";"";NA;"";""
"3031";3031;3031;3031;3031;17480001100036;"PREFECTURE DE LA LOZERE";1;1,57142857142857;"";"";NA;"";""
"3032";3032;3032;3032;3032;17546422224645;"STE SCENA PROD & SERVICES";1;13,7142857142857;"";"";NA;"";""
"3033";3033;3033;3033;3033;17590131300460;"EPE ETABLISSEMENT DE PLACEMENT EDUCATIF";1;8,57142857142857;"";"";NA;"";""
"3034";3034;3034;3034;3034;17590151100980;"COMMISSARIAT DE POLICE";1;2,57142857142857;"";"";NA;"";""
"3035";3035;3035;3035;3035;17640431700271;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DES PYRENEES ATLANTIQUES";1;2,57142857142857;"";"";NA;"";""
"3036";3036;3036;3036;3036;17660131800122;"S.T.E.M.O NARBONNE";1;0,428571428571429;"";"";NA;"";""
"3037";3037;3037;3037;3037;17660431200098;"INSPECTION ACADEMIQUE DES PYRENEES ORIENTALES.";1;0,714285714285714;"";"";NA;"";""
"3038";3038;3038;3038;3038;17660431200171;"CIO CERET";1;57,4285714285714;"";"";NA;"";""
"3039";3039;3039;3039;3039;17670131600125;"DIRECTION TERRITORIALE ASLACE";1;26,1428571428571;"";"";NA;"";""
"3040";3040;3040;3040;3040;17670431000513;"INSPECTION DE L'EDUCATION NATIONALE HAGUENAU NORD";1;0,571428571428571;"";"";NA;"";""
"3041";3041;3041;3041;3041;17670460900013;"DRAC ALSACE";1;12,7142857142857;"";"";NA;"";""
"3042";3042;3042;3042;3042;17690120500524;"ETABLISSEMENT PENITENTIAIRE POUR MINEUR";1;11,5714285714286;"";"";NA;"";""
"3043";3043;3043;3043;3043;17750151700011;"PREFECTURE DE POLICE DE PARIS";1;2,57142857142857;"";"";NA;"";""
"3044";3044;3044;3044;3044;17750430500133;"ACADEMIE DE PARIS";1;32;"";"";NA;"";""
"3045";3045;3045;3045;3045;17750430500158;"CASNAV DE PARIS";1;1,42857142857143;"";"";NA;"";""
"3046";3046;3046;3046;3046;17780151100037;"SURETE DEPARTEMENTALE DES YVELINES";1;5,42857142857143;"";"";NA;"";""
"3047";3047;3047;3047;3047;17810431100299;"DSDEN DU TARN";1;2,42857142857143;"";"";NA;"";""
"3048";3048;3048;3048;3048;17830131300296;"PROTECTION JUDICIAIRE DE LA JEUNESSE DU VAR";1;12,2857142857143;"";"";NA;"";""
"3049";3049;3049;3049;3049;17840431500016;"DSDEN DE VAUCLUSE";1;0,571428571428571;"";"";NA;"";""
"3050";3050;3050;3050;3050;17840431500453;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE";1;0,428571428571429;"";"";NA;"";""
"3051";3051;3051;3051;3051;17890431400113;"INSPECTEUR EDUCATION NATIONALE";1;0,571428571428571;"";"";NA;"";""
"3052";3052;3052;3052;3052;17910002900224;"SERVICE PENITENTIAIRE D'INSERTION ET PROBATION";1;0,428571428571429;"";"";NA;"";""
"3053";3053;3053;3053;3053;17910002900281;"CENTRE PENITENTIAIRE DE SAINT-DENIS";1;0,571428571428571;"";"";NA;"";""
"3054";3054;3054;3054;3054;17940430600088;"ACADEMIE DE CRETEIL (RECTORAT)";1;24,5714285714286;"";"";NA;"";""
"3055";3055;3055;3055;3055;17971001700015;"PREFECTURE DU DEP DE LA GUADELOUPE";1;25,7142857142857;"";"";NA;"";""
"3056";3056;3056;3056;3056;17971460500021;"DIRECTION DES AFFAIRES CULTURELLES DE GUADELOUPE";1;21,5714285714286;"";"";NA;"";""
"3057";3057;3057;3057;3057;17974431300018;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DE LA REUNION";1;1,57142857142857;"";"";NA;"";""
"3058";3058;3058;3058;3058;17974431300042;"DIRECTION DES SERVICES DEPARTEMENTAUX DE L EDUCATION NATIONALE DE LA REUNION";1;11,8571428571429;"";"";NA;"";""
"3059";3059;3059;3059;3059;17985083900012;"VICE RECTORAT MAYOTTE";1;8,42857142857143;"";"";NA;"";""
"3060";3060;3060;3060;3060;17992010300019;"AMBASSADE DE FRANCE EN ARABIE SAOUDITE";1;25,8571428571429;"";"";NA;"";""
"3061";3061;3061;3061;3061;17992310700017;"INSTITUT FRANCAIS D'INDONESIE";1;39;"";"";NA;"";""
"3062";3062;3062;3062;3062;17994150500010;"AMBASSADE DE FRANCE EN ARGENTINE";1;8,42857142857143;"";"";NA;"";""
"3063";3063;3063;3063;3063;18000001000017;"GCLH";1;8,57142857142857;"";"";NA;"";""
"3064";3064;3064;3064;3064;18000360330039;"OFFICE FRANCAIS DE PROTECTION DES REFUGIES ET APATRIDES";1;25,7142857142857;"";"";NA;"";""
"3065";3065;3065;3065;3065;18000608200069;"ECOLE ALBERT CAMUS";1;11,7142857142857;"";"";NA;"";""
"3066";3066;3066;3066;3066;18000608200234;"LYCEE LOUIS-MASSIGNON";1;17,5714285714286;"";"";NA;"";""
"3067";3067;3067;3067;3067;18001201500012;"ETABLISSEMENT PUBLIC DE SANTE NATIONALE DE FRESNES - EPSNF";1;8,57142857142857;"";"";NA;"";""
"3068";3068;3068;3068;3068;18001404500199;"CNFPT";1;20,5714285714286;"";"";NA;"";""
"3069";3069;3069;3069;3069;18001404502245;"CNFPT";1;25,5714285714286;"";"";NA;"";""
"3070";3070;3070;3070;3070;18003402700011;"OFFICE FRANCAIS DE L'IMMIGRATION ET DE L'INTEGRATION";1;17,5714285714286;"";"";NA;"";""
"3071";3071;3071;3071;3071;18003604802235;"INSERM";1;7,57142857142857;"";"";NA;"";""
"3072";3072;3072;3072;3072;18003604802268;"INSERM";1;7,57142857142857;"";"";NA;"";""
"3073";3073;3073;3073;3073;18004301001485;"RESEAU CANOPE";1;21,5714285714286;"";"";NA;"";""
"3074";3074;3074;3074;3074;18004301001568;"CANOPE ACADEMIE DE MONTPELLIER";1;6,14285714285714;"";"";NA;"";""
"3075";3075;3075;3075;3075;18004301001584;"RESEAU CANOPE";1;18,5714285714286;"";"";NA;"";""
"3076";3076;3076;3076;3076;18004404200018;"INSTITUT DE FRANCE";1;19,5714285714286;"";"";NA;"";""
"3077";3077;3077;3077;3077;18004412500011;"CASA DE VELAZQUEZ";1;0,571428571428571;"";"";NA;"";""
"3078";3078;3078;3078;3078;18004422400020;"ABES";1;8,57142857142857;"";"";NA;"";""
"3079";3079;3079;3079;3079;18004601300298;"FORTERESSE DE SALSES";1;5,85714285714286;"";"";NA;"";""
"3080";3080;3080;3080;3080;18004601300314;"CMN-DOMAINE NATIONAL DU CHATEAU D'ANGERS";1;4,14285714285714;"";"";NA;"";""
"3081";3081;3081;3081;3081;18004601300355;"CENTRE DES MONUMENTS NATIONAUX - ABBAYE DE MONTMAJOUR";1;7,42857142857143;"";"";NA;"";""
"3082";3082;3082;3082;3082;18004603900137;"CENTRE NATIONAL DU CINEMA ET DE L’IMAGE ANIMEE";1;7,42857142857143;"";"";NA;"";""
"3083";3083;3083;3083;3083;18007003900110;"INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE";1;26,1428571428571;"";"";NA;"";""
"3084";3084;3084;3084;3084;18007003900680;"INRA";1;20,5714285714286;"";"";NA;"";""
"3085";3085;3085;3085;3085;18007003901944;"INRA - LRDE";1;26,2857142857143;"";"";NA;"";""
"3086";3086;3086;3086;3086;18008901300023;"CNRS DELEGATION REGIONALE";1;21,8571428571429;"";"";NA;"";""
"3087";3087;3087;3087;3087;18008901300155;"CNRS ( DELEGATION REGIONALE IDF OUEST ET NORD)";1;6,28571428571429;"";"";NA;"";""
"3088";3088;3088;3088;3088;18008901300320;"CNRS";1;4,14285714285714;"";"";NA;"";""
"3089";3089;3089;3089;3089;18008901300635;"CNRS - LIMSI";1;21,2857142857143;"";"";NA;"";""
"3090";3090;3090;3090;3090;18008901301682;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE DELEGATION COTE D'AZUR";1;26;"";"";NA;"";""
"3091";3091;3091;3091;3091;18008901302458;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE DELEGATION AQUITAINE LIMOUSIN";1;12,2857142857143;"";"";NA;"";""
"3092";3092;3092;3092;3092;18008901303282;"CNRS DELEGATION PARIS B";1;12,8571428571429;"";"";NA;"";""
"3093";3093;3093;3093;3093;18008901303878;"COMITE ETABLISSEMENT CNES TOULOUSE";1;26,1428571428571;"";"";NA;"";""
"3094";3094;3094;3094;3094;18008901306582;"CNRS VILLEURBANNE - DELEGATION RHONE-AUVERGNE";1;25,7142857142857;"";"";NA;"";""
"3095";3095;3095;3095;3095;18008901306657;"CNRS";1;3,57142857142857;"";"";NA;"";""
"3096";3096;3096;3096;3096;18009002900042;"MUSEE NATIONAL DE LA MARINE";1;7,57142857142857;"";"";NA;"";""
"3097";3097;3097;3097;3097;18009002900067;"MUSEE DE LA MARINE";1;2,57142857142857;"";"";NA;"";""
"3098";3098;3098;3098;3098;18009219900017;"ECOLE NATIONALE D'ADMINISTRATION PENITENTIAIRE";1;26,2857142857143;"";"";NA;"";""
"3099";3099;3099;3099;3099;18009223100018;"ECPAD";1;5,71428571428571;"";"";NA;"";""
"3100";3100;3100;3100;3100;18009226400050;"INRAP";1;3,57142857142857;"";"";NA;"";""
"3101";3101;3101;3101;3101;18009226400191;"INRAP GRAND SUD OUEST";1;3;"";"";NA;"";""
"3102";3102;3102;3102;3102;18009238900014;"ECOLE NATIONALE SUPERIEURE D'ART";1;8,57142857142857;"";"";NA;"";""
"3103";3103;3103;3103;3103;18009253800016;"AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS";1;2,57142857142857;"";"";NA;"";""
"3104";3104;3104;3104;3104;18073001200069;"CCI DE L'ARDECHE MERIDIONALE";1;17;"";"";NA;"";""
"3105";3105;3105;3105;3105;18090033400038;"GIP MISSION LOCALE JEUNE ARIEGE";1;1,57142857142857;"";"";NA;"";""
"3106";3106;3106;3106;3106;18130008800216;"CROUS AIX MARSEILLE AVIGNON";1;1,14285714285714;"";"";NA;"";""
"3107";3107;3107;3107;3107;18133714800017;"GIP CICRP BELLE DE MAI";1;1,57142857142857;"";"";NA;"";""
"3108";3108;3108;3108;3108;18180003800026;"CHAMBRE D'AGRICULTURE DU CHER";1;17,2857142857143;"";"";NA;"";""
"3109";3109;3109;3109;3109;18300001700016;"CHAMBRE DE METIERS ET DE L'ARTISANAT DU GARD";1;17,4285714285714;"";"";NA;"";""
"3110";3110;3110;3110;3110;18330005200036;"CHAMBRE D'AGRICULTURE DE LA GIRONDE";1;21,5714285714286;"";"";NA;"";""
"3111";3111;3111;3111;3111;18340000100016;"CANOPE  MONTPELLIER (CRDP)";1;33,5714285714286;"";"";NA;"";""
"3112";3112;3112;3112;3112;18340005000039;"CCI SETE FRONTIGNAN MEZE";1;26;"";"";NA;"";""
"3113";3113;3113;3113;3113;18340006800015;"CCI MONTPELLIER";1;17,4285714285714;"";"";NA;"";""
"3114";3114;3114;3114;3114;18340007600018;"CCI BEZIERS";1;13,1428571428571;"";"";NA;"";""
"3115";3115;3115;3115;3115;18340008400723;"RESIDENCE UNIVERSITAIRE VERT BOIS II";1;0,571428571428571;"";"";NA;"";""
"3116";3116;3116;3116;3116;18340013400023;"CHAMBRE REGIONALE DE METIERS ET DE L'ARTISANAT DU LANGUEDOC-ROUSSILLON";1;34,5714285714286;"";"";NA;"";""
"3117";3117;3117;3117;3117;18450301900012;"AGENCE DE L'EAU LOIRE BRETAGNE";1;25,5714285714286;"";"";NA;"";""
"3118";3118;3118;3118;3118;18480001900020;"CHAMBRE D'AGRICULTURE";1;25,5714285714286;"";"";NA;"";""
"3119";3119;3119;3119;3119;18560005300010;"CCI DU MORBIHAN";1;21,5714285714286;"";"";NA;"";""
"3120";3120;3120;3120;3120;18590750800260;"CCI REGION NORD DE FRANCE";1;24,2857142857143;"";"";NA;"";""
"3121";3121;3121;3121;3121;18592161600040;"GROUPEMENT D'INTERET PUBLIC - GIP FCIP";1;6,28571428571429;"";"";NA;"";""
"3122";3122;3122;3122;3122;18650002100016;"CHAMBRE DEPARTEMENTALE D'AGRICULTURE DES HAUTES PYRENEES";1;13,5714285714286;"";"";NA;"";""
"3123";3123;3123;3123;3123;18660003700011;"CHAMBRE AGRICULTURE DES PYRENEES ORIENTALES";1;15,2857142857143;"";"";NA;"";""
"3124";3124;3124;3124;3124;18690155900101;"AGENCE DE L EAU RMC";1;25,8571428571429;"";"";NA;"";""
"3125";3125;3125;3125;3125;18730003300011;"PARC NATIONAL DE LA VANOISE";1;15,4285714285714;"";"";NA;"";""
"3126";3126;3126;3126;3126;18810005100054;"CHAMBRE DE METIERS ET DE L'ARTISANAT";1;0,285714285714286;"";"";NA;"";""
"3127";3127;3127;3127;3127;18840002200029;"CHAMBRE D AGRICULTURE DU VAUCLUSE";1;21,8571428571429;"";"";NA;"";""
"3128";3128;3128;3128;3128;18843701600036;"ERFPP";1;33,5714285714286;"";"";NA;"";""
"3129";3129;3129;3129;3129;18920911700028;"ATELIER INTERNATIONAL DU GRAND PARIS";1;12,5714285714286;"";"";NA;"";""
"3130";3130;3130;3130;3130;18971008000020;"PARC NATIONAL DE LA GUADELOUPE";1;26,1428571428571;"";"";NA;"";""
"3131";3131;3131;3131;3131;18973302500069;"ETABLISSEMENT PUBLIC ADMINISTRATIF";1;22;"";"";NA;"";""
"3132";3132;3132;3132;3132;18974211700014;"CCI ILE DE LA REUNION";1;7;"";"";NA;"";""
"3133";3133;3133;3133;3133;19010802700011;"COLLEGE AMPERE";1;0,571428571428571;"";"";NA;"";""
"3134";3134;3134;3134;3134;19020011300016;"COLLEGE FRANCOIS TRUFFAUT";1;0,571428571428571;"";"";NA;"";""
"3135";3135;3135;3135;3135;19021492400010;"COLLEGE GERARD PHILIPE";1;3,57142857142857;"";"";NA;"";""
"3136";3136;3136;3136;3136;19030061600033;"LYCEE PROFESSIONNEL ALBERT LONDRES";1;0,714285714285714;"";"";NA;"";""
"3137";3137;3137;3137;3137;19040052300014;"EPLE (ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT)";1;0,428571428571429;"";"";NA;"";""
"3138";3138;3138;3138;3138;19060005600013;"LYCEE ALEXIS DE TOCQUEVILLE";1;0,571428571428571;"";"";NA;"";""
"3139";3139;3139;3139;3139;19060084100018;"COLLEGE JEAN GIONO";1;1,57142857142857;"";"";NA;"";""
"3140";3140;3140;3140;3140;19070017900012;"COLLEGE LA SEGALIERE";1;0,714285714285714;"";"";NA;"";""
"3141";3141;3141;3141;3141;19070848700011;"COLLEGE MARIE CURIE";1;2;"";"";NA;"";""
"3142";3142;3142;3142;3142;19071351100011;"LYCEE XAVIER MALLET";1;1,42857142857143;"";"";NA;"";""
"3143";3143;3143;3143;3143;19101060200032;"UTT";1;23,4285714285714;"";"";NA;"";""
"3144";3144;3144;3144;3144;19110019700018;"LYCEE JACQUES RUFFIE";1;0,285714285714286;"";"";NA;"";""
"3145";3145;3145;3145;3145;19110034600011;"LYCEE PROFESSIONNEL GUSTAVE EIFFEL";1;6,42857142857143;"";"";NA;"";""
"3146";3146;3146;3146;3146;19110037900012;"COLLEGE EMILE ALAIN";1;15,2857142857143;"";"";NA;"";""
"3147";3147;3147;3147;3147;19110672300015;"COLLEGE JULES VERNE";1;3,28571428571429;"";"";NA;"";""
"3148";3148;3148;3148;3148;19110675600015;"COLLEGE MICHEL BOUSQUIE";1;1;"";"";NA;"";""
"3149";3149;3149;3149;3149;19110721800015;"COLLEGE ANTOINE COURRIERE";1;0,571428571428571;"";"";NA;"";""
"3150";3150;3150;3150;3150;19120012000019;"LYCEE GENERAL ET TECHNOLOGIQUE JEAN VIGO";1;2,28571428571429;"";"";NA;"";""
"3151";3151;3151;3151;3151;19120018700018;"COLLEGE JEAN AMANS";1;0,571428571428571;"";"";NA;"";""
"3152";3152;3152;3152;3152;19120025200010;"LYCEE POLYVALENT JEAN JAURES";1;0,428571428571429;"";"";NA;"";""
"3153";3153;3153;3153;3153;19130071400018;"LYCEE PROFESSIONNEL COLBERT";1;0,571428571428571;"";"";NA;"";""
"3154";3154;3154;3154;3154;19130164700019;"LYCEE ALPHONSE DAUDET";1;0,428571428571429;"";"";NA;"";""
"3155";3155;3155;3155;3155;19130171200011;"LYCEE CHARLES PRIVAT";1;2;"";"";NA;"";""
"3156";3156;3156;3156;3156;19131603300015;"ADOLPHE MONTICELLI COLLEGE";1;5,14285714285714;"";"";NA;"";""
"3157";3157;3157;3157;3157;19131609000023;"COLLEGE FREDERIC MISTRAL ARLES";1;5;"";"";NA;"";""
"3158";3158;3158;3158;3158;19131611600018;"COLLEGE RENE CASSIN";1;4,14285714285714;"";"";NA;"";""
"3159";3159;3159;3159;3159;19131746000019;"COLLEGE ROBERT MOREL";1;0,571428571428571;"";"";NA;"";""
"3160";3160;3160;3160;3160;19131884900012;"COLLEGE BELLE DE MAI";1;26,2857142857143;"";"";NA;"";""
"3161";3161;3161;3161;3161;19132318700010;"COLLEGE ELIE COUTAREL";1;9;"";"";NA;"";""
"3162";3162;3162;3162;3162;19132326000015;"COLLEGE ALBERT CAMUS";1;0,571428571428571;"";"";NA;"";""
"3163";3163;3163;3163;3163;19132491200010;"COLLEGE ALEXANDRE-DUMAS";1;2,57142857142857;"";"";NA;"";""
"3164";3164;3164;3164;3164;19132495300014;"LYCEE ARTHUR RIMBAUD";1;8,14285714285714;"";"";NA;"";""
"3165";3165;3165;3165;3165;19132786500017;"COLLEGE LES MATAGOTS";1;0,571428571428571;"";"";NA;"";""
"3166";3166;3166;3166;3166;19132834300014;"COLLEGE RIEU CHARLOUN";1;1,28571428571429;"";"";NA;"";""
"3167";3167;3167;3167;3167;19132974700015;"LYCEE HOTELIER REGIONAL";1;0,285714285714286;"";"";NA;"";""
"3168";3168;3168;3168;3168;19133337600017;"COLLEGE FRANCOISE DOLTO";1;0,571428571428571;"";"";NA;"";""
"3169";3169;3169;3169;3169;19140052200014;"LYCEE POLYVALENT GUIBRAY-LIARD";1;0,571428571428571;"";"";NA;"";""
"3170";3170;3170;3170;3170;19141408500016;"UNIVERSITE DE CAEN NORMANDIE";1;22,5714285714286;"";"";NA;"";""
"3171";3171;3171;3171;3171;19141764100013;"COLLEGE DES DOUITS";1;0,142857142857143;"";"";NA;"";""
"3172";3172;3172;3172;3172;19202021200010;"LYCEE GENERAL ET COLLEGE PASCAL PAOLI";1;0,428571428571429;"";"";NA;"";""
"3173";3173;3173;3173;3173;19211237300019;"UNIVERSITE DE BOURGOGNE";1;2,57142857142857;"";"";NA;"";""
"3174";3174;3174;3174;3174;19260002100013;"COLLEGE HENRI BARBUSSE";1;0,571428571428571;"";"";NA;"";""
"3175";3175;3175;3175;3175;19260791900029;"LYCEE HORTICOLE TERRE D'HORIZON";1;6;"";"";NA;"";""
"3176";3176;3176;3176;3176;19261088900011;"LYCEE ALAIN BORNE";1;0,571428571428571;"";"";NA;"";""
"3177";3177;3177;3177;3177;19270019300019;"COLLEGE JEAN JAURES";1;9,57142857142857;"";"";NA;"";""
"3178";3178;3178;3178;3178;19271579500014;"LYCEE LEOPOLD SEDAR SENGHOR";1;27,5714285714286;"";"";NA;"";""
"3179";3179;3179;3179;3179;19290346600014;"UNIVERSITE BREST BRETAGNE OCCIDENTALE";1;21,7142857142857;"";"";NA;"";""
"3180";3180;3180;3180;3180;19300013000016;"COLLEGE LE CASTELLAS";1;6;"";"";NA;"";""
"3181";3181;3181;3181;3181;19300016300017;"COLLEGE DE LA REGORDANE";1;4;"";"";NA;"";""
"3182";3182;3182;3182;3182;19300020500016;"COLLEGE DEPARCIEUX";1;1,14285714285714;"";"";NA;"";""
"3183";3183;3183;3183;3183;19300036100017;"COLLEGE";1;0,571428571428571;"";"";NA;"";""
"3184";3184;3184;3184;3184;19300039500015;"COLLEGE LA GALABERTE";1;1,57142857142857;"";"";NA;"";""
