"";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"keywords"
"70";18008901300395;"CENTRE NATIONAL DE RECHERCHE SCIENTIFIQUE";19;226,428571428572;"";""
"71";19341277200017;"COLLEGE LES AIGUERELLES";19;188,285714285714;"";""
"72";20005379100048;"REGION OCCITANIE - SITE DE MONTPELLIER";19;226,142857142857;"";""
"73";21340057500097;"ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN";19;89,2857142857143;"";""
"74";21340172200789;"ECOLE ELEMENTAIRE SIMON BOLIVAR";19;96,857142857143;"";""
"75";42150305300017;"GIBERT JOSEPH";19;65,4285714285714;"";""
"76";45056326700027;"CLINIQUE SAINT CLEMENT";19;235,285714285714;"";""
"77";50245584300016;"CHU SAINT ELOI";19;515;"";""
"78";53832967300015;"CIMADE DE MONTPELLIER";19;392,285714285714;"";""
"79";77605699600015;"LYCEE N.D. DE LA MERCI";19;131,857142857143;"";""
"80";81317979300589;"EHPAD LES COULEURS DU TEMPS";19;238,714285714286;"";""
"81";19340038900014;"LYCEE JOFFRE";18;103,142857142857;"";""
"82";19340042100015;"LYCEE JEAN MERMOZ";18;114,714285714286;"";""
"83";35218205900035;"OFFICE DU TOURISME DE MONTPELLIER";18;155;"";""
"84";77609432800023;"ECOLE SAINT JOSEPH";18;27,5714285714286;"";""
"85";17340460900070;"DRAC OCCITANIE";17;120,857142857143;"";""
"86";21300007800385;"DSDEN DU GARD";17;40,4285714285714;"";""
"87";21340032800018;"MAIRIE DE BEZIERS - ANNEXE DE LA DEVEZE";17;169,714285714286;"";""
"88";21340090600045;"ECOLE ELEMENTAIRE FREDERIC MISTRAL";17;63,2857142857142;"";""
"89";21340172200516;"ECOLE ELEMENTAIRE SIGMUND FREUD";17;62,2857142857143;"";""
"90";77605694700018;"EDUCATION POPULAIRE ST JEAN BAPTISTE";17;65,1428571428572;"";""
"91";19340048800014;"COLLEGE CLEMENCE ROYER";16;130;"";""
"92";19340111400015;"COLLEGE GEORGES CLEMENCEAU";16;79,1428571428571;"";""
"93";19341603900017;"LYCEE POLYVALENT JEAN JAURES";16;78,4285714285714;"";""
"94";21340172201514;"ECOLE MATERNELLE ARISTOTE";16;45;"";""
"95";24340076900093;"COMMUNAUTE D'AGGLOMERATION BEZIERS MEDITERRANEE";16;224,142857142857;"";""
"96";26660002200013;"CENTRE HOSPITALIER DE PERPIGNAN";16;268,714285714286;"";""
"97";49143517800018;"FILMS DES DEUX RIVES";16;271,857142857143;"";""
"98";18007003901027;"INSTITUT NATIONAL DE RECHERCHE AGRONOMIQUE - CENTRE MONTPELLIER";15;303,142857142857;"";""
"99";21340172201449;"ECOLE LUDWIG VAN BEETHOVEN";15;62,2857142857143;"";""
"100";22660001300016;"DEPARTEMENT DES PYRENEES ORIENTALES";15;97,4285714285714;"";""
"101";42336783800012;"ASSOCIATION AVEC";15;188;"";""
"102";45348586400012;"PAGES ET IMAGES PRODUCTION";15;155;"";""
"103";50803754600027;"MOSAIQUES ARCHEOLOGIE";15;113;"";""
"104";77605712700016;"ECOLE SAINTE MARIE LES JONQUILLES";15;94;"";""
"105";18008901309065;"CNRS (DELEGATION REGIONAL LR)";14;95,7142857142859;"";""
"106";19340045400016;"LYCEE PROFESSIONNEL JULES FERRY";14;104,428571428571;"";""
"107";20003221700016;"LYCEE POLYVALENT GEORGES FRECHE";14;54,4285714285715;"";""
"108";21340022900091;"ECOLE  MATERNELLE PUBLIC ANTOINE GEOFFRE";14;34,4285714285714;"";""
"109";21340172201217;"ECOLE ELEMENTAIRE PUBLIQUE MARIE DE SEVIGNE";14;102;"";""
"110";21340172201571;"ECOLE PRIMAIRE PUBLIQUE LEO MALET";14;36;"";""
"111";26300003600222;"CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE NIMES";14;261,428571428571;"";""
"112";33159627000040;"CIRAD";14;283,285714285714;"";""
"113";40784350700044;"MEDICIS TRADUCTION";14;115;"";""
"114";48447503300037;"SDG-LANG";14;106,285714285714;"";""
"115";80349731200014;"LES FILMS D ICI MEDITERRANEE";14;304;"";""
"116";81292975000014;"ECOLE INTERNATIONALE ANTONIA";14;46,5714285714286;"";""
"117";19340972900020;"COLLEGE VICTOR HUGO";13;113,571428571429;"";""
"118";21340057500022;"ECOLE MATERNELLE LA FONTAINE";13;74,7142857142857;"";""
"119";21340172200813;"ECOLE ELEMENTAIRE LEOPOLD SEDAR SENGHOR";13;72,1428571428572;"";""
"120";21340172201456;"MATERNELLE JEAN JACQUES ROUSSEAU";13;36;"";""
"121";26340089700017;"MECS MARIE CAIZERGUES";13;216,142857142857;"";""
"122";33159627000016;"CIRAD";13;229,571428571429;"";""
"123";34009800300023;"SARL LES AMANDIERS";13;126,857142857143;"";""
"124";34758223100226;"URBANIS";13;271,571428571429;"";""
"125";40196658500010;"CENTRE LA ROSERAIE SAINTE ODILE";13;165,428571428571;"";""
"126";42073787600037;"FOYER DE VIE ""ARCHE L'HORIZON""";13;228,571428571429;"";""
"127";45042055900038;"CHANTAL PIERRE";13;214,142857142857;"";""
"128";45780137100016;"CLINIQUE RECH";13;221,428571428572;"";""
"129";50349407200039;"JASMIN D’ORIENT";13;172,142857142857;"";""
"130";79824511400011;"LE NOUVEAU MEDIA";13;72,7142857142857;"";""
"131";NA;"MENORCA SPANISH SCHOOL";13;76;"";""
